,title,avg_rating,count_rating,genres,w_score
0,Small Roads (2011),5.0,1,(no genres listed),3.1347048942502753
1,Divorce (1945),5.0,1,Drama,3.1347048942502753
2,The Beautiful Story (1992),5.0,1,Adventure|Drama|Fantasy,3.1347048942502753
3,Into the Middle of Nowhere (2010),5.0,1,Adventure|Children|Comedy|Documentary|Drama,3.1347048942502753
4,The Sea That Thinks (2000),5.0,1,(no genres listed),3.1347048942502753
5,The Wrecking Crew (2008),5.0,1,Documentary,3.1347048942502753
6,Marihuana (1936),5.0,1,Documentary|Drama,3.1347048942502753
7,No Distance Left to Run (2010),5.0,1,Documentary,3.1347048942502753
8,Stargate SG-1 Children of the Gods - Final Cut (2009),5.0,1,Adventure|Sci-Fi|Thriller,3.1347048942502753
9,This Thing With Sarah (2013),5.0,1,Comedy|Drama|Romance,3.1347048942502753
10,The great match (2007),5.0,1,Comedy,3.1347048942502753
11,Schmatta: Rags to Riches to Rags (2009),5.0,1,Documentary,3.1347048942502753
12,Flight of the Conchords: A Texan Odyssey (2006),5.0,1,Comedy,3.1347048942502753
13,Paying the Price: Killing the Children of Iraq (2000),5.0,1,Documentary,3.1347048942502753
14,Little Criminals (1995),5.0,1,Crime|Drama,3.1347048942502753
15,Consuming Kids: The Commercialization of Childhood (2008),5.0,2,Documentary,3.136130960844885
16,The Old Gun (1975),5.0,1,Drama|Thriller|War,3.1347048942502753
17,A Night for Dying Tigers (2010),5.0,1,Drama,3.1347048942502753
18,Rent-a-Cat (2012),5.0,1,Comedy|Drama,3.1347048942502753
19,The Secret Country: The First Australians Fight Back (1986),5.0,1,Documentary,3.1347048942502753
20,Inquire Within (2012),5.0,1,Comedy,3.1347048942502753
21,Loser Takes All! (Qui perd gagne !) (2003),5.0,1,Comedy|Mystery,3.1347048942502753
22,Yonkers Joe (2008),5.0,1,Drama,3.1347048942502753
23,"Peace, Propaganda & the Promised Land (2004)",5.0,1,Documentary,3.1347048942502753
24,A Gun for Jennifer (1997),5.0,1,Crime|Drama|Thriller,3.1347048942502753
25,Tales That Witness Madness (1973),5.0,1,Comedy|Horror|Mystery|Sci-Fi,3.1347048942502753
26,Mishen (Target) (2011),5.0,1,Drama|Sci-Fi,3.1347048942502753
27,Al otro lado (2004),5.0,1,Drama,3.1347048942502753
